id,rackTotCnt,stationLatitude,stationLongitude,distance_hanriver,distance_bikeroad,distance_subway,distance_school_mid,distance_school_high,distance_school_univ,PopTot
414,10,37.6,126.9,2077,1125,649,567,990,2514,32882
415,12,37.56,126.9,2243,904,381,833,1128,2270,32882
416,14,37.56,126.9,1920,1220,604,674,1114,2557,32882
417,22,37.56,126.9,2325,856,159,481,850,2103,32882
418,12,37.56,126.9,2110,1283,120,468,1010,2356,61695
419,23,37.56,126.9,1853,1485,137,577,1103,2447,61695
420,42,37.56,126.9,1647,1835,709,951,1478,2820,61695
421,10,37.56,126.9,1577,1680,333,807,1186,2486,61695
422,15,37.56,126.9,1677,1672,417,909,1452,2797,61695
424,17,37.56,126.9,2112,1086,389,546,1014,2308,32882
425,12,37.6,126.9,2129,1937,1333,641,403,2485,32882
426,12,37.56,126.94,3027,3877,556,515,609,976,40509
427,12,37.56,126.9,2010,1231,677,286,725,2053,61695
428,12,37.56,127,4783,4833,213,524,847,863,2007
429,10,37.56,127,2708,2711,600,435,322,1111,20163
430,10,37.56,127,4028,3785,456,876,614,677,6284
431,17,37.56,127,4835,2230,379,893,302,1533,13689
432,12,37.56,126.94,1477,1256,422,126,941,2065,61695
3559,10,37.53,127.06,2831,1760,287,520,329,194,31903
434,12,37.56,127,3815,3078,608,835,327,1935,20163
507,9,37.56,127.06,2343,2774,411,964,1013,999,29404
436,12,37.56,126.94,3491,2817,32,902,636,853,13575
3525,17,37.53,127,2148,1406,843,965,834,1841,15227
234,12,37.5,126.9,3870,1736,347,897,455,1088,95641
235,12,37.5,126.94,3272,2251,495,1057,389,1495,95641
3550,20,37.53,127,1890,1279,582,1007,1054,2035,15227
237,22,37.5,126.94,3771,1601,599,142,356,760,47318
318,12,37.56,127,5595,5721,196,937,1049,913,3567
324,12,37.56,127,4971,5383,334,939,833,769,3059
467,16,37.56,127,5074,5403,440,915,933,799,3059
437,14,37.56,126.94,2484,3132,114,706,575,383,13575
438,17,37.56,126.94,1560,1276,325,321,720,2261,61695
439,12,37.53,126.94,1303,4414,451,1210,865,1769,22594
440,17,37.56,126.9,611,2530,1568,1162,1243,3380,32882
441,15,37.56,127,4734,4748,437,760,506,1016,3059
